#{"t_start": 1770572360.01943, "env_id": "None"}
r,l,t
-7.4272532,1,9.08397
-13.955253,1,9.093575
-22.099716,1,9.09359
-8.33194,1,9.101734
-13.408796,1,9.101744
-8.753553,1,9.110582
-110.2064,10,9.110593
-7.2209535,1,9.118591
-9.544132,1,9.127782
-43.74884,5,9.127794
-12.829187,1,9.136692
-8.49911,1,9.136705
-97.02135,10,9.164673
-111.006,12,9.172211
-11.231059,1,9.172229
-8.821175,1,9.180709
-99.97426,10,9.189241
-33.916306,4,9.204813
-90.30273,6,9.213935
-17.898073,1,9.213956
-144.13885,15,9.227828
-41.40065,4,9.242206
-7.833364,1,9.250609
-108.10741,10,9.258802
-16.522001,2,9.26769
-87.800125,9,9.279917
-20.288383,2,9.279938
-14.896115,1,9.287829
-101.4612,10,9.324447
-233.82654,14,9.32448
-7.445856,1,9.332439
-226.85184,22,9.344624
-17.07513,2,9.344666
-9.067642,1,9.352944
-174.3379,16,9.364339
-9.028885,1,9.372753
-65.325516,6,9.396341
-95.321884,10,9.404723
-7.462863,1,9.413064
-9.202197,1,9.421632
-88.8604,9,9.436117
-69.914154,6,9.450494
-96.35473,9,9.450517
-13.192281,1,9.459095
-212.7751,17,9.4694
-7.8120513,1,9.477474
-11.486815,1,9.485795
-56.061317,5,9.485806
-8.05808,1,9.494425
-107.76016,9,9.494445
-78.29808,6,9.502912
-14.417295,1,9.50293
-8.522348,1,9.511656
-123.570175,10,9.538351
-9.008979,1,9.54554
-73.65176,8,9.570753
-253.51703,20,9.581179
-215.91872,20,9.589897
-13.099246,1,9.597472
-267.9135,22,9.60892
-68.620415,6,9.619912
-7.348694,1,9.628942
-20.858162,2,9.63994
-17.052254,2,9.650672
-81.557945,7,9.650686
-9.476128,1,9.658713
-242.97958,19,9.67976
-55.835052,5,9.679775
-67.2826,7,9.689307
-7.4117017,1,9.689319
-17.340458,1,9.696589
-17.881678,1,9.70469
-9.185203,1,9.713595
-184.19197,19,9.713603
-7.877591,1,9.722705
-51.399193,4,9.722718
-12.389289,1,9.731643
-8.514345,1,9.731652
-8.918288,1,9.739991
-12.406345,1,9.748
-140.73677,13,9.770258
-12.82749,1,9.777717
-7.494602,1,9.7854
-71.96146,6,9.806113
-7.514124,1,9.8134
-9.2410345,1,9.820924
-239.50156,21,9.832957
-152.72884,17,9.832969
-224.68423,19,9.832976
-13.128476,1,9.840803
-7.2209163,1,9.840827
-14.920579,1,9.849654
-36.192238,4,9.849668
-13.794119,1,9.849674
-8.523655,1,9.860346
-13.934118,1,9.860367
-18.301426,1,9.868649
-15.690293,1,9.881708
-131.61618,10,9.901239
-195.81636,13,9.922768
-138.47942,11,9.922791
-70.34608,6,9.943917
-8.719149,1,9.9529
-185.88722,17,9.96922
-68.6112,5,9.977331
-191.41953,17,9.998428
-13.054549,1,10.007394
-340.36865,33,10.016158
-7.249399,1,10.016181
-8.146354,1,10.02421
-7.3385377,1,10.031965
-120.60328,11,10.044889
-165.50766,13,10.053494
-14.33563,1,10.053521
-59.92782,6,10.065667
-12.953455,1,10.065684
-7.5917497,1,10.06569
-11.236981,1,10.074901
-7.91099,1,10.074919
-14.820492,1,10.074926
-60.69123,7,10.08722
-44.99573,3,10.096
-21.22136,2,10.105381
-44.91469,6,10.116546
-31.394434,2,10.11657
-8.156649,1,10.125293
-49.375164,5,10.133985
-113.87801,11,10.148125
-114.44084,9,10.16543
-7.657058,1,10.173286
-135.71356,11,10.184613
-102.11339,10,10.18463
-104.637985,9,10.196238
-10.052381,1,10.204883
-119.07838,10,10.233778
-88.04615,9,10.245331
-36.082226,3,10.253575
-8.174526,1,10.261809
-39.03012,4,10.272372
-9.439001,1,10.280292
-241.10468,18,10.289189
-216.44456,20,10.289214
-8.016682,1,10.298169
-24.808538,2,10.310761
-111.01083,9,10.322717
-47.70685,4,10.334796
-147.7989,11,10.349229
-8.699344,1,10.359482
-102.48982,10,10.377078
-204.21066,18,10.389704
-94.303246,10,10.402374
-13.776685,1,10.410243
-145.00502,15,10.410257
-84.29727,8,10.418449
-105.20339,9,10.436884
-15.644787,1,10.444323
-70.38401,6,10.444335
-34.3314,3,10.458824
-11.085445,1,10.467595
-54.218746,5,10.476175
-7.6825833,1,10.47619
-112.81049,11,10.484296
-9.151024,1,10.484309
-8.049569,1,10.493498
-8.29004,1,10.502476
-23.09081,2,10.513888
-7.6718416,1,10.522181
-16.572979,1,10.530662
-221.87622,18,10.530674
-146.55806,13,10.553854
-92.821396,8,10.564414
-197.0561,16,10.574714
-14.265976,2,10.585345
-26.896517,3,10.601333
-98.06843,10,10.611981
-9.082517,1,10.612004
-215.74823,17,10.619626
-9.267784,1,10.619638
-13.472922,1,10.628121
-17.257017,1,10.635956
-59.458206,4,10.653512
-9.095688,1,10.660777
-96.417465,8,10.668897
-6.9976974,1,10.668909
-8.96693,1,10.677919
-8.915871,1,10.677933
-196.63379,19,10.686502
-8.665259,1,10.694251
-31.546,3,10.702851
-165.49814,13,10.702862
-16.912191,1,10.711669
-7.8830533,1,10.711682
-112.43197,10,10.736788
-89.680954,7,10.744165
-144.98936,10,10.752429
-8.707878,1,10.752447
-177.63696,15,10.777172
-78.815025,8,10.784356
-35.14857,3,10.794971
-8.596684,1,10.802983
-148.45544,14,10.811168
-16.436073,1,10.811179
-135.88052,13,10.818575
-73.173164,7,10.844933
-20.303328,2,10.856954
-8.07019,1,10.865797
-149.02495,12,10.883682
-164.43681,13,10.89558
-139.43867,10,10.916708
-260.99326,25,10.924668
-13.993683,1,10.924688
-173.77452,14,10.943276
-39.902676,5,10.9433
-9.765415,1,10.951424
-7.371114,1,10.960492
-8.000363,1,10.96811
-46.35051,4,10.980396
-18.6511,2,10.988502
-14.631527,1,10.997039
-23.93082,3,11.005492
-9.151391,1,11.005505
-9.64304,1,11.014004
-8.181026,1,11.014028
-146.54256,15,11.026313
-284.5198,25,11.041654
-8.149381,1,11.049921
-90.58894,9,11.065023
-77.1418,7,11.065044
-80.87519,9,11.065053
-107.37455,11,11.091546
-104.17393,9,11.100193
-109.22393,10,11.109391
-14.881148,1,11.117426
-111.78394,9,11.14426
-211.14226,20,11.156338
-12.039363,1,11.164581
-199.48514,14,11.173602
-37.386005,4,11.173622
-8.859241,1,11.173633
-8.752712,1,11.180898
-27.745338,3,11.192549
-184.81607,16,11.2044
-64.288925,6,11.212644
-19.653406,1,11.221653
-16.872377,2,11.232998
-7.046929,1,11.240866
-8.076203,1,11.249803
-98.31543,10,11.267396
-120.86702,13,11.275846
-12.410245,1,11.275859
-217.57835,19,11.292663
-12.454457,1,11.301019
-133.47476,12,11.312544
-16.671751,2,11.312561
-96.29034,8,11.321215
-85.77082,8,11.32123
-26.155066,3,11.336181
-208.60963,15,11.378049
-15.25186,1,11.3857
-16.69288,1,11.393384
-244.08499,19,11.401011
-21.018509,2,11.414171
-190.02469,18,11.42252
-242.14937,23,11.430731
-8.400687,1,11.430746
-14.34206,1,11.439807
-12.549366,1,11.448325
-64.34684,7,11.448342
-73.637634,8,11.466619
-53.784252,6,11.478152
-28.220037,2,11.489482
-127.00549,11,11.497735
-111.76011,11,11.508795
-61.99909,5,11.518803
-101.75998,10,11.52705
-8.079045,1,11.527065
-7.692699,1,11.53531
-97.0629,8,11.553907
-47.822735,5,11.553922
-13.226941,1,11.561762
-15.095009,1,11.56896
-233.14743,20,11.598098
-153.5087,15,11.605913
-14.615499,1,11.605932
-14.180894,1,11.613548
-135.71532,13,11.621694
-127.9655,12,11.629993
-8.378454,1,11.638489
-9.020232,1,11.647594
-39.17883,4,11.656071
-78.59402,9,11.671876
